file,method,oldTestCaseId,newTestCaseId
BcbsmNavigation.cs,NavigateToMemberInfo,594178,79390
BcbsmNavigation.cs,NavigateToProviderExpressAdd,594179,79391
BcbsmNavigation.cs,NavigateToGroupInfo,594180,79392
BcbsmNavigation.cs,NavigateToProviderInfo,594181,79393
BcbsmNavigation.cs,NavigateToFeesSearch,594182,79394
BcbsmNavigation.cs,NavigateToProviderSearch,594183,79395
BcbsmNavigation.cs,NavigateToGroupSearchCms,594184,79396
BcbsmNavigation.cs,NavigateToProvMembersPaymentSearchCms,594185,79397
BcbsmNavigation.cs,NavigateToBillingReconSearchCms,594186,79398
BcbsmNavigation.cs,NavigateToGroupInfoPage,594187,79399
BcbsmNavigation.cs,NavigateToMemberSearchFromSideMenu,594188,79400
BcbsmNavigation1.cs,NavigateToOrderMemberMaterialsPage,594189,79401
BcbsmNavigation1.cs,NavigateToOrderIdCardsPage,594190,79402
BcbsmNavigation1.cs,NavigateToMemberInfoPageFromMembersSideMenu,594191,79403
BcbsmNavigation1.cs,NavigateToInquiryTrackingPageFromMembersSideMenu,594192,79404
BcbsmNavigation1.cs,NavigateToMemberMassTransactionsPageFromMembersSideMenu,594193,79405
BcbsmNavigation1.cs,NavigateToClaimsInventoryReportFromOperationsSideMenu,594202,79413
BcbsmNavigation1.cs,NavigateToDueDateReportFromOperationsSideMenu,594203,79414
BcbsmNavigation1.cs,NavigateToClaimSearchFromOperationsSideMenu,594204,79415
BcbsmNavigation1.cs,NavigateToBulkAutoAdjudicateFromOperationsSideMenu,594205,79416
BcbsmNavigation1.cs,NavigateToBulkAutoAdjudicateReportFromOperationsSideMenu,594206,79417
BcbsmSearches.cs,SearchMemberInfo,594210,79418
BcbsmSearches.cs,PeformClaimSearch,594211,79419
BcbsmSearches.cs,NavigateToSubGroupDrilldownDetails,594212,79420
BcbsmSearches.cs,PeformFindAProviderSearch,597473,79573
BcbsmSearches.cs,NavigateToTerminationsPageFromMembersSideMenu,594194,79406
BcbsmSearches.cs,NavigateToInquiryTrackingPageFromOperationsSideMenu,594195,79407
BcbsmSearches.cs,NavigateToPcdInquiryTrackingPageFromOperationsSideMenu,594196,79408
BcbsmSearches.cs,NavigateToCobEntryViewPageFromOperationsSideMenu,594197,79409
BcbsmSearches.cs,NavigateToManualClaimEntryPageFromOperationsSideMenu,594198,79410
BcbsmSearches.cs,NavigateToLockedClaimsPageFromOperationsSideMenu,594200,79411
BcbsmSearches.cs,NavigateToClaimsWorkedReportFromOperationsSideMenu,594201,79412
ComNavigation.cs,NavigateToMemberInfo,594220,79421
ComNavigation.cs,NavigateToProviderExpressAdd,594221,79422
ComNavigation.cs,NavigateToGroupInfo,594222,79423
ComNavigation.cs,NavigateToProviderInfo,594223,79424
ComNavigation.cs,NavigateToFeesSearch,594224,79425
ComNavigation.cs,NavigateToProviderSearch,594225,79426
ComNavigation.cs,NavigateToGroupSearchCms,594226,79427
ComNavigation.cs,NavigateToProvMembersPaymentSearchCms,594227,79428
ComNavigation.cs,NavigateToBillingReconSearchCms,594228,79429
ComNavigation.cs,NavigateToGroupInfoPage,594229,79430
ComNavigation.cs,NavigateToMemberSearchFromSideMenu,594230,79431
ComNavigation.cs,NavigateToOrderMemberMaterialsPage,594231,79432
ComNavigation.cs,PeformFindAProviderSearch,594257,79458
ComNavigation1.cs,NavigateToOrderIdCardsPage,594232,79433
ComNavigation1.cs,NavigateToMemberInfoPageFromMembersSideMenu,594233,79434
ComNavigation1.cs,NavigateToInquiryTrackingPageFromMembersSideMenu,594234,79435
ComNavigation1.cs,NavigateToMemberMassTransactionsPageFromMembersSideMenu,594235,79436
ComNavigation1.cs,NavigateToTerminationsPageFromMembersSideMenu,594236,79437
ComNavigation1.cs,NavigateToInquiryTrackingPageFromOperationsSideMenu,594237,79438
ComNavigation1.cs,NavigateToLockedClaimsPageFromOperationsSideMenu,594241,79442
ComNavigation1.cs,NavigateToClaimsWorkedReportFromOperationsSideMenu,594242,79443
ComNavigation1.cs,NavigateToClaimsInventoryReportFromOperationsSideMenu,594243,79444
ComNavigation1.cs,NavigateToDueDateReportFromOperationsSideMenu,594244,79445
ComNavigation1.cs,NavigateToClaimSearchFromOperationsSideMenu,594245,79446
ComNavigation1.cs,NavigateToBulkAutoAdjudicateFromOperationsSideMenu,594246,79447
ComNavigation1.cs,NavigateToBulkAutoAdjudicateReportFromOperationsSideMenu,594247,79448
ComSearches.cs,SearchMemberInfo,594248,79449
ComSearches.cs,PeformClaimSearch,594249,79450
ComSearches.cs,NavigateToClaimAudit,594250,79451
ComSearches.cs,NavigateToSubGroupDrilldownDetails,594251,79452
ComSearches.cs,PeformProviderSearch,594252,79453
ComSearches.cs,PeformFeesSearch,594253,79454
ComSearches.cs,PeformGroupInfoSearch,594254,79455
ComSearches.cs,PeformMemberSearch,594255,79456
ComSearches.cs,PeformProviderInfoSearch,594256,79457
ComSearches.cs,NavigateToPcdInquiryTrackingPageFromOperationsSideMenu,594238,79439
ComSearches.cs,NavigateToCobEntryViewPageFromOperationsSideMenu,594239,79440
ComSearches.cs,NavigateToManualClaimEntryPageFromOperationsSideMenu,594240,79441
GovNavigation.cs,NavigateToMemberInfo,594259,79459
GovNavigation.cs,NavigateToProviderExpressAdd,594260,79460
GovNavigation.cs,NavigateToGroupInfo,594261,79461
GovNavigation.cs,NavigateToProviderInfo,594262,79462
GovNavigation.cs,NavigateToFeesSearch,594263,79463
GovNavigation.cs,NavigateToProviderSearch,594264,79464
GovNavigation.cs,NavigateToGroupSearchCms,594265,79465
GovNavigation.cs,NavigateToProvMembersPaymentSearchCms,594266,79466
GovNavigation.cs,NavigateToBillingReconSearchCms,594267,79467
GovNavigation.cs,NavigateToGroupInfoPage,594268,79468
GovNavigation.cs,NavigateToMemberSearchFromSideMenu,594269,79469
GovNavigation.cs,NavigateToOrderMemberMaterialsPage,594270,79470
GovNavigation1.cs,NavigateToInvoiceMessage,596756,79520
GovNavigation1.cs,NavigateToMemberBillingHistory,596757,79521
GovNavigation1.cs,NavigateToPullBillList,596758,79522
GovNavigation1.cs,NavigateToRates,596760,79523
GovNavigation1.cs,NavigateToProviderSearchFromProviderMaintenance,596789,79526
