file,method,oldTestCaseId,newTestCaseId
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer01,597835,79890
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer02,597836,79891
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer03,597837,79892
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer04,597838,79893
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer05,597839,79894
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer06,597840,79895
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer07,597841,79896
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer08,597842,79897
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer09,597843,79898
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer10,637018,79899
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer11,637019,79900
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer12,637159,79901
WebServerValidation.cs,NavigateToFN14PaymentSummaryReportOnWebServer13,637185,79902
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer01,597853,79903
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer02,597854,79904
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer03,597855,79905
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer04,597856,79906
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer05,597857,79907
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer06,597858,79908
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer07,597859,79909
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer08,597860,79910
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer09,597861,79911
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer10,637022,79912
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer11,637024,79913
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer12,637154,79914
WebServerValidation1.cs,NavigateToGroupInfoOnWebServer13,637155,79915
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer01,597844,79916
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer02,597845,79917
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer03,597846,79918
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer04,597847,79919
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer05,597848,79920
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer06,597849,79921
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer07,597850,79922
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer08,597851,79923
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer09,597852,79924
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer10,637203,79925
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer11,637204,79926
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer12,637205,79927
WebServerValidation2.cs,NavigateToInquiryTrackingPageOnWebServer13,637206,79928
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer01,597880,79929
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer02,597881,79930
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer03,597882,79931
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer04,597883,79932
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer05,597884,79933
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer06,597885,79934
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer07,597886,79935
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer08,597887,79936
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer09,597888,79937
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer10,637020,79938
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer11,637021,79939
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer12,637157,79940
WebServerValidation3.cs,NavigateToFraudTrackingOnWebServer13,637158,79941
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer01,597862,79942
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer02,597863,79943
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer03,597864,79944
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer04,597865,79945
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer05,597866,79946
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer06,597867,79947
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer07,597868,79948
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer08,597869,79949
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer09,597870,79950
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer10,637027,79951
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer11,637028,79952
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer12,637194,79953
WebServerValidation4.cs,NavigateToMemberModifyPageOnWebServer13,637195,79954
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer01,597826,79955
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer02,597827,79956
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer03,597828,79957
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer04,597829,79958
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer05,597830,79959
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer06,597831,79960
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer07,597832,79961
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer08,597833,79962
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer09,597834,79963
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer12,637127,79966
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer13,637128,79967
WebServerValidation6.cs,PeformProviderSearchOnWebServer01,594290,79968
WebServerValidation6.cs,PeformProviderSearchOnWebServer02,638931,79969
WebServerValidation6.cs,PeformProviderSearchOnWebServer03,638932,79970
WebServerValidation6.cs,PeformProviderSearchOnWebServer04,638933,79971
WebServerValidation6.cs,PeformProviderSearchOnWebServer05,638934,79972
WebServerValidation6.cs,PeformProviderSearchOnWebServer06,638935,79973
WebServerValidation6.cs,PeformProviderSearchOnWebServer07,638936,79974
WebServerValidation6.cs,PeformProviderSearchOnWebServer08,638937,79975
WebServerValidation6.cs,PeformProviderSearchOnWebServer09,638938,79976
WebServerValidation6.cs,PeformProviderSearchOnWebServer10,638939,79977
WebServerValidation6.cs,PeformProviderSearchOnWebServer11,638940,79978
WebServerValidation6.cs,PeformProviderSearchOnWebServer12,638941,79979
WebServerValidation6.cs,PeformProviderSearchOnWebServer13,638942,79980
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer01,637619,79981
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer02,637620,79982
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer03,637621,79983
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer04,637622,79984
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer05,637623,79985
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer06,637624,79986
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer07,637625,79987
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer08,637626,79988
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer09,637627,79989
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer10,637628,79990
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer11,637629,79991
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer12,637630,79992
WebServerValidationPCD.cs,NavigateToPCDInquiryTrackingPageOnWebServer13,637631,79993
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer01,637334,79994
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer02,637505,79995
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer03,637506,79996
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer04,637507,79997
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer05,637508,79998
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer06,637509,79999
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer07,637510,80000
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer08,637511,80001
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer09,637512,80002
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer10,637513,80003
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer11,637514,80004
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer12,637515,80005
WebServerValidationPCDService.cs,NavigateToPCDInquiryTrackingServiceOnWebServer13,637516,80006
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer10,637008,79964
WebServerValidation5.cs,ProviderMatchingPendQueueOnWebServer11,637008,79965
